movie_name,actors_List,genre_list
Citizen Kane,"{'Joseph Cotten': 'Jedediah Leland', 'Orson Welles': 'Charles Foster Kane', 'Agnes Moorehead': 'Mary Kane', 'Dorothy Comingore': 'Susan Alexander Kane', 'Erskine Sanford': 'Herbert Carter', 'Everett Sloane': 'Mr. Bernstein', 'Fortunio Bonanova': 'Matiste', 'George Coulouris': 'Walter Parks Thatcher', 'Georgia Backus': 'Miss Anderson', 'Gus Schilling': 'The Headwaiter', 'Harry Shannon': ""Kane's Father"", 'Paul Stewart': 'Raymond', 'Philip Van Zandt': 'Mr. Rawlston', 'Ray Collins': 'James W. Gettys', 'Ruth Warrick': 'Emily Monroe Norton Kane', 'William Alland': 'Jerry Thompson'}","['Drama', 'Mystery']"
The Godfather,"{'Al Pacino': 'Michael Corleone', 'Marlon Brando': 'Don Vito Corleone', 'Abe Vigoda': 'Sal Tessio', 'Al Lettieri': ""Virgil 'The Turk' Sollozzo"", 'Diane Keaton': 'Kay Adams', 'Gianni Russo': 'Carlo Rizzi', 'James Caan': ""Santino 'Sonny' Corleone"", 'John Cazale': 'Fredo Corleone', 'John Marley': 'Jack Woltz', 'Richard Conte': 'Don Emilio Barzini', 'Richard S. Castellano': 'Peter Clemenza', 'Robert Duvall': 'Tom Hagen', 'Rudy Bond': 'Don Carmine Cuneo', 'Sterling Hayden': 'Capt. McCluskey', 'Talia Shire': 'Connie Corleone Rizzi'}","['Drama', 'Thriller', 'Crime']"
Rear Window,"{'Frank Cady': 'Man On Fire Escape', 'Georgine Darcy': 'Miss Torso', 'Grace Kelly': 'Lisa Carol Fremont', 'James Stewart': ""L.B. 'Jeff' Jefferies"", 'Judith Evelyn': 'Miss Lonelyhearts', 'Raymond Burr': 'Lars Thorwald', 'Ross Bagdasarian': 'Songwriter', 'Sara Berner': 'Woman On Fire Escape', 'Thelma Ritter': 'Stella', 'Wendell Corey': 'Det. Lt. Thomas J. Doyle', 'Havis Davenport': 'Newlywed', 'Irene Winston': 'Mrs. Emma Thorwald', 'Jerry Antes': 'Dancer With Miss Torso', 'Jesslyn Fax': 'Miss Hearing Aid', 'Rand Harper': 'Newlywed'}","['Mystery', 'Thriller']"
Casablanca,"{'Humphrey Bogart': 'Rick Blaine', 'Ingrid Bergman': 'Ilsa Lund', 'Claude Rains': 'Captain Louis Renault', 'Conrad Veidt': 'Major Heinrich Strasser', 'Curt Bois': 'Pickpocket', 'Dooley Wilson': 'Sam', 'Enrique Acosta': ""Guest At Rick's"", 'John Qualen': 'Berger', 'Joy Page': 'Annina Brandel', 'Leonid Kinskey': 'Sascha', 'Madeleine Lebeau': 'Yvonne', 'Paul Henreid': 'Victor Laszlo', 'Peter Lorre': 'Ugarte', 'S.Z. Sakall': 'Carl', 'Sydney Greenstreet': 'Signor Ferrari'}","['Drama', 'Romance', 'War']"
Boyhood,"{'Bonnie Cross': 'Teacher', 'Elijah Smith': 'Tommy', 'Ellar Coltrane': 'Mason', 'Ethan Hawke': 'Mason Sr.', 'Libby Villari': 'Mother', 'Lorelei Linklater': 'Samantha', 'Marco Perella': 'Professor Bill Welbrock', 'Patricia Arquette': 'Olivia', 'Steven Chester Prince': 'Ted', 'Alyssa Petersen': 'Missy', 'Andrea Chen': ""Sam's Roommate"", 'Andrew Villarreal': 'Randy', 'Angela Rawna': 'Professor Douglas', 'Brad Hawkins': 'Jim', 'Cassidy Johnson': 'Abby', 'David Blackwell': 'Liquor Store Clerk', 'Deanna Brochin': 'College Student', 'Derek Chase Hickey': 'Steve', 'Evie Thompson': 'Jill', 'Greg Baglia': 'Additional Voices', 'Jamie Howard': 'Mindy', 'Jonathan Bell': 'Kitchen Worker', 'Jordan Howard': 'Tony', 'Mark Finn': 'Himself', 'Megan Devine': 'Make Out Girl', 'Mona Lee Fultz': 'Teacher', 'Natalie Wilemon': 'College Student', 'Nick Krause': 'Charlie', 'Ryan Power': 'Paul', 'Sam Dillon': 'Nick', 'Savannah Welch': 'College Student', 'Shane Graham': 'Stanley', 'Sharee Fowler': 'Book Trivia Judge', 'Sydney Orta': 'Elementary School Girl', 'Tamara Jolaine': 'Tammy', 'Tess Allen': 'Neighborhood Friend 2', 'Zoe Graham': 'Sheena'}",['Drama']
Three Colors: Red,"{'Irène Jacob': 'Valentine', 'Jean-Louis Trintignant': 'Le Juge Joseph Kern', 'Bernard Escalon': 'Le Disquaire (Record Dealer)', 'Brigitte Raul': 'Cast', 'Elzbieta Jasinska': 'La Femme (Woman)', 'Frédérique Feder': 'Karin', 'Jean Schlegel': 'Le Voisin (Neighbour)', 'Jean-Marie Daunas': 'Le Gardien Du Théâtre (Theatre Manager)', 'Jean-Pierre Lorit': 'Auguste', 'Leo Ramseyer': 'Cast', 'Marion Stalens': 'Le Vétérinaire (Veterinary Surgeon)', 'Paul Vermeulen': ""L'ami De Karin (Karen's Friend)"", 'Roland Carey': 'Le Trafiquant (Drug Dealer)', 'Samuel Le Bihan': 'Le Photographe (Photographer)', 'Teco Celio': 'Le Barman (Barman)'}","['Drama', 'Mystery', 'Romance']"
Vertigo,"{'Barbara Bel Geddes': 'Midge Wood', 'David Ahdar': 'Priest', 'Ellen Corby': 'Manager Of McKittrick Hotel', 'Henry Jones': 'Coroner', 'James Stewart': ""John 'Scottie' Ferguson"", 'Kim Novak': 'Madeleine Elster/Judy Barton', 'Konstantin Shayne': 'Pop Leibel', 'Lee Patrick': 'Car Owner Mistaken For Madeleine', 'Raymond Bailey': ""Scottie's Doctor"", 'Tom Helmore': 'Gavin Elster', 'Danny Borzage': 'Juror', 'Isabel Analla': 'Undetermined Role', 'Jack Ano': 'Undetermined Role', 'John Benson': 'Salesman', 'Margaret Bacon': 'Nun'}","['Mystery', 'Thriller', 'Romance']"
Notorious,"{'Alexis Minotis': 'Joseph', 'Cary Grant': 'Devlin', 'Claude Rains': 'Alexander Sebastian', 'Ingrid Bergman': 'Alicia Huberman', 'Ivan Triesault': 'Eric Mathis', 'Leopoldine Konstantin': 'Mme. Sebastian', 'Louis Calhern': 'Paul Prescott', 'Moroni Olsen': 'Walter Beardsley', 'Reinhold Schünzel': ""'Dr. Anderson'"", 'Wally Brown': 'Mr. Hopkins', 'Bernice Barrett': 'File Clerk', 'Charles Mendl': 'Commodore', 'E.A. Krumschmidt': 'Hupka', 'Fay Baker': 'Ethel', 'Ricardo Costa': 'Dr. Barbosa'}","['Drama', 'Thriller', 'Romance', 'Film-Noir']"
Singin' in the Rain,"{'Cyd Charisse': 'Dancer', 'Dawn Addams': 'Teresa - A Lady-In-Waiting', 'Debbie Reynolds': 'Kathy Selden', ""Donald O'Connor"": 'Cosmo Brown', 'Douglas Fowley': 'Roscoe Dexter', 'Gene Kelly': 'Don Lockwood', 'Jean Hagen': 'Lina Lamont', 'John Albright': 'Call Boy', 'Millard Mitchell': 'R.F. Simpson', 'Rita Moreno': 'Zelda Zanders', 'Bette Arlen': 'Chorus Girl', 'Betty Allen': 'Chorus Girl', 'Jimmy Bates': 'Boy', 'Marie Ardell': 'Chorus Girl', 'Sue Allen': 'Chorus Girl'}","['Comedy', 'Romance', 'Musical']"
City Lights,"{'Charles Chaplin': 'A Tramp', 'Virginia Cherrill': 'A Blind Girl', 'Al Ernest Garcia': 'His Butler', 'Albert Austin': 'Street Sweeper/Burglar', 'Betty Blair': 'Woman At Center Of Table In Restaurant', 'Buster Brodie': 'Bald Party Guest', 'Eddie Baker': 'Boxing Fight Referee', 'Florence Lee': 'Her Grandmother', 'Hank Mann': 'A Prizefighter', 'Harry Ayers': 'Cop', 'Harry Myers': 'An Eccentric Millionaire', 'Henry Bergman': ""Mayor/Blind Girl's Downstairs Neighbor"", 'Jack Alexander': 'Extra In Boxing Scene', 'T.S. Alexander': 'Doctor', 'Victor Alexander': 'Superstitious Boxer'}","['Drama', 'Comedy', 'Romance']"
